type,node_id,action,arguments,success,completion,status,nominal_cost,nominal_cost_std_dev,measured_cost,mesured_cost_std_dev,estimated_cost,estimated_cost_std,residual_cost,residual_cost_std
2,move_action_node,move,r2d2_wp_control_wp1,False,0.0,,5.613936703128031,0.0,8.051254643,0.0,5.613936703128031,0.0,2.437317939871969,0.0
2,move_action_node,move,r2d2_wp1_wp_control,False,0.0,,5.662414913786677,0.0,10.050700474000001,0.0,5.662414913786677,0.0,4.388285560213324,0.0
2,move_action_node,move,r2d2_wp_control_wp2,False,0.0,,7.561123124645316,0.0,8.76071499,0.0,7.561123124645316,0.0,1.1995918653546846,0.0
2,move_action_node,move,r2d2_wp2_wp_control,False,0.0,,7.407498857973013,0.0,13.050569966000001,0.0,7.407498857973013,0.0,5.643071108026988,0.0
2,move_action_node,move,r2d2_wp_control_wp3,False,0.0,,7.246848300639845,0.0,10.1606556,0.0,7.246848300639845,0.0,2.9138072993601547,0.0
2,move_action_node,move,r2d2_wp3_wp_control,False,0.0,,6.74177423558462,0.0,11.561148631,0.0,6.74177423558462,0.0,4.81937439541538,0.0
2,move_action_node,move,r2d2_wp_control_wp4,False,0.0,,4.950220674305443,0.0,6.710714472,0.0,4.950220674305443,0.0,1.760493797694557,0.0
2,move_action_node,move,r2d2_wp4_wp_control,False,0.0,,4.587165343057848,0.0,10.160754752,0.0,4.587165343057848,0.0,5.573589408942153,0.0
2,move_action_node,move,r2d2_wp_control_wp1,False,0.0,,5.313251644447696,0.0,7.750985340000001,0.0,7.750569584319665,0.0,2.4375673932801702,0.0
2,move_action_node,move,r2d2_wp1_wp_control,False,0.0,,5.369659545862049,0.0,10.100900036,0.0,9.757945106075374,0.0,4.594058518168101,0.0
2,move_action_node,move,r2d2_wp_control_wp2,False,0.0,,7.575199782640821,0.0,9.160580426000001,0.0,8.774791647995507,0.0,1.4310651321573817,0.0
2,move_action_node,move,r2d2_wp2_wp_control,False,0.0,,7.387070511872068,0.0,12.910613989000002,0.0,13.030141619899055,0.0,5.5713545294875555,0.0
2,move_action_node,move,r2d2_wp_control_wp3,False,0.0,,7.117689321969116,0.0,10.150645047000001,0.0,10.031496621329271,0.0,2.985296354762593,0.0
2,move_action_node,move,r2d2_wp3_wp_control,False,0.0,,7.075348960837841,0.0,11.450671550000001,0.0,11.894723356253222,0.0,4.552943311663448,0.0
2,move_action_node,move,r2d2_wp_control_wp4,False,0.0,,4.795025678045552,0.0,6.160710299000001,0.0,6.555519475740109,0.0,1.523608291650492,0.0
2,move_action_node,move,r2d2_wp4_wp_control,False,0.0,,4.485871896045343,0.0,9.900555393000001,0.0,10.059461304987497,0.0,5.478245861749656,0.0
2,move_action_node,move,r2d2_wp_control_wp1,False,0.0,,5.58509033837446,0.0,8.050882252000001,0.0,8.02265773165463,0.0,2.454502105487393,0.0
2,move_action_node,move,r2d2_wp1_wp_control,False,0.0,,5.250213573387392,0.0,10.100691051,0.0,9.844272091555492,0.0,4.747909893834805,0.0
