type,node_id,action,arguments,success,completion,status,nominal_cost,nominal_cost_std_dev,measured_cost,measured_cost_std_dev,estimated_cost,estimated_cost_std,residual_cost,residual_cost_std,t_start,t_end
2,move_action_node_robot2,move,robot2_start_wp_robot2_clean2,False,0,,7.87255970579209,0,11.494635198,0,7.87255970579209,1,3.62207549220791,1,1723497175.38907,1723497186.88689
2,move_action_node_robot1,move,robot1_start_wp_robot1_clean1,False,0,,9.78964469131797,0,20.402135518,0,9.78964469131797,1,10.612490826682,1,1723497175.39081,1723497195.7974
2,clean_action_node_robot1,clean,robot1_room1_clean1,False,0,,22.3169634459213,0,15.510875437,0,22.3169634459213,1,-6.80608800892134,1,1723497196.08474,1723497211.60068
2,clean_action_node_robot2,clean,robot2_room2_clean2,False,0,,34.3896102116854,0,28.709483134,0,34.3896102116854,1,-5.68012707768539,1,1723497187.18428,1723497215.89846
2,move_action_node_robot2,move,robot2_clean2_hall,False,0,,9.04884642788816,0,10.510593811,0,9.04884642788816,1,1.46174738311184,1,1723497216.18509,1723497226.69794
2,move_action_node_robot1,move,robot1_clean1_clean3,False,0,,19.5752964418653,0,23.610669933,0,19.5752964418653,1,4.03537349113471,1,1723497211.88241,1723497235.49716
2,patrol_action_node_robot2,patrol,robot2_hall,False,0,,0,0,10.100384026,0,0,1,10.100384026,1,1723497226.98079,1723497237.08601
2,clean_action_node_robot1,clean,robot1_room3_clean3,False,0,,38.3898397184138,0,33.75148079,0,38.3898397184138,1,-4.63835892841382,1,1723497235.79598,1723497269.54987
2,move_action_node_robot1,move,robot1_clean3_entrance,False,0,,20.4195497790838,0,21.26107049,0,20.4195497790838,1,0.841520710916228,1,1723497269.78283,1723497291.04819
2,attend_action_node_robot1,attend_person,robot1_persona_entrance_sofa,False,0,,20.6381259383537,0,24.511371417,0,20.6381259383537,1,3.87324547864627,1,1723497291.38695,1723497315.90204
2,move_action_node_robot2,move,robot2_hall_start_wp_robot2,False,0,,4.84815593366775,0,9.611363821,0,4.84815593366775,1,4.76320788733225,1,1723497321.22044,1723497330.83515
2,move_action_node_robot1,move,robot1_sofa_start_wp_robot1,False,0,,13.0582868593641,0,16.912526475,0,13.0582868593641,1,3.85423961563587,1,1723497321.21518,1723497338.13042
2,move_action_node_robot2,move,robot2_start_wp_robot2_clean2,False,0,,7.80293370354443,0,13.800782483,0,11.4250091957524,1,5.20592435037302,0.666666666666667,1723497344.15054,1723497357.95531
